"phen" "total" "sign_disc" "sign_repl" "sign_disc_top" "sign_repl_top" "weak_instr"
"ukb-b-11709" 1 0 0 0 0 0
"ukb-b-4068" 121 29 29 11 10 1
"ukb-b-18102" 0 0 0 0 0 0
"ukb-b-18389" 0 0 0 0 0 0
"ukb-b-5759" 1 0 0 0 0 0
"ukb-b-7926" 1 0 0 0 0 0
"ukb-b-266" 0 0 0 0 0 0
"ukb-b-5257" 0 0 0 0 0 0
"ukb-b-6519" 67 116 128 15 8 7
"ukb-b-20515" 1 0 0 0 0 0
"ukb-b-14918" 0 0 0 0 0 0
"ukb-b-20168" 3 0 0 0 0 0
"ukb-b-17687" 2 0 2 0 1 -1
"ukb-b-13251" 23 35 28 11 10 1
"ukb-b-20498" 33 11 8 4 4 0
"ukb-b-9791" 0 0 0 0 0 0
"ukb-b-17601" 13 4 8 2 4 -2
"ukb-b-14210" 0 0 0 0 0 0
"ukb-b-10250" 5 0 20 0 3 -3
"ukb-b-588" 0 0 0 0 0 0
"ukb-b-10212" 1 0 0 0 0 0
"ukb-b-12617" 0 0 0 0 0 0
"ukb-b-3778" 2 0 0 0 0 0
"ukb-b-18611" 1 0 0 0 0 0
"ukb-b-13624" 0 0 0 0 0 0
"ukb-b-6353" 33 23 25 10 10 0
"ukb-b-6826" 0 0 0 0 0 0
"ukb-b-6888" 0 0 0 0 0 0
"ukb-b-1233" 0 0 0 0 0 0
"ukb-b-11463" 0 0 0 0 0 0
"ukb-b-16812" 5 0 0 0 0 0
"ukb-b-4982" 13 8 0 4 0 4
"ukb-b-19066" 1 0 0 0 0 0
"ukb-b-12801" 1 0 0 0 0 0
"ukb-b-7166" 1 0 0 0 0 0
"ukb-b-1044" 0 0 0 0 0 0
"ukb-b-3665" 0 0 0 0 0 0
"ukb-b-1153" 0 0 0 0 0 0
"ukb-b-5705" 0 0 0 0 0 0
"ukb-b-5664" 18 30 4 1 2 -1
"ukb-b-9882" 0 0 0 0 0 0
"ukb-b-9857" 1 0 0 0 0 0
"ukb-b-4783" 0 0 0 0 0 0
"ukb-b-4745" 0 0 0 0 0 0
"ukb-b-9275" 0 0 0 0 0 0
"ukb-b-507" 0 0 0 0 0 0
"ukb-b-2221" 3 0 0 0 0 0
"ukb-b-15836" 0 0 0 0 0 0
"ukb-b-12741" 0 0 0 0 0 0
"ukb-b-18477" 0 0 0 0 0 0
"ukb-b-6295" 1 0 0 0 0 0
"ukb-b-6994" 0 1 0 0 0 0
"ukb-b-11064" 5 41 54 2 3 -1
"ukb-b-5991" 1 4 0 1 0 1
